ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
5,Molluscs,57,"Squids, cuttlefishes, octopuses",TWE,Todaropsis spp,10,Bivalves and other molluscs and aquatic invertebrates,81,Other molluscs and aquatic invertebrates,Meat edible fraction,67
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FBM,Abramis brama,1,Freshwater fish,8,Other freshwater fish,Flesh edible fraction,54
3,Marine fishes,36,"Tunas, bonitos, billfishes",FRZ,"Auxis thazard, A. rochei",6,Tuna and tuna-like species,47,"Tuna, miscellaneous",Flesh edible fraction,58
3,Marine fishes,34,Miscellaneous demersal fishes,BEH,Benthodesmus spp,7,Other marine fish,62,Other marine fish,Flesh edible fraction,59
5,Molluscs,56,"Clams, cockles, arkshells",TDG,Tridacna gigas,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,56,"Clams, cockles, arkshells",QQX,Tridacna spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,57,"Squids, cuttlefishes, octopuses",PSG,Psychroteuthis glacialis,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",MTV,Mactra veneriformis,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,34,Miscellaneous demersal fishes,REG,Sebastes norvegicus,3,Groundfish,20,Redfish,Flesh edible fraction,45
3,Marine fishes,35,"Herrings, sardines, anchovies",SAG,Sardinella gibbosa,5,Small pelagics,39,Sardine,Flesh edible fraction,65
5,Molluscs,57,"Squids, cuttlefishes, octopuses",GDW,Gonatidae,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,55,"Scallops, pectens",SCE,Pecten maximus,10,Bivalves and other molluscs and aquatic invertebrates,78,Scallop,Meat edible fraction,10.5
5,Molluscs,55,"Scallops, pectens",SJA,Pecten jacobaeus,10,Bivalves and other molluscs and aquatic invertebrates,78,Scallop,Meat edible fraction,10.5
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OIJ,Moroteuthopsis ingens,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,54,Mussels,MSV,Perna viridis,10,Bivalves and other molluscs and aquatic invertebrates,77,"Mussel, other",Meat edible fraction,24
3,Marine fishes,31,"Flounders, halibuts, soles",GHL,Reinhardtius hippoglossoides,4,Flatfish,91,"Halibut, Greenland",Flesh edible fraction,49
3,Marine fishes,33,Miscellaneous coastal fishes,TRG,Balistes capriscus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,32,"Cods, hakes, haddocks",HAD,Melanogrammus aeglefinus,3,Groundfish,15,Haddock,Flesh edible fraction,48
3,Marine fishes,34,Miscellaneous demersal fishes,CUT,Trichiuridae,7,Other marine fish,58,Scabbardfish,Flesh edible fraction,59
5,Molluscs,57,"Squids, cuttlefishes, octopuses",UHX,Onykia spp,10,Bivalves and other molluscs and aquatic invertebrates,81,Other molluscs and aquatic invertebrates,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OCM,Eledone spp,9,Cephalopods,74,Octopus,Meat edible fraction,79
5,Molluscs,57,"Squids, cuttlefishes, octopuses",EOI,Eledone cirrhosa,9,Cephalopods,74,Octopus,Meat edible fraction,79
5,Molluscs,56,"Clams, cockles, arkshells",HCL,Pseudocardium sybillae,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
3,Marine fishes,37,Miscellaneous pelagic fishes,RAG,Rastrelliger kanagurta,5,Small pelagics,38,Mackerel,Flesh edible fraction,57
3,Marine fishes,37,Miscellaneous pelagic fishes,RAX,Rastrelliger spp,5,Small pelagics,38,Mackerel,Flesh edible fraction,57
3,Marine fishes,35,"Herrings, sardines, anchovies",IOS,Sardinella longiceps,5,Small pelagics,39,Sardine,Flesh edible fraction,65
3,Marine fishes,37,Miscellaneous pelagic fishes,RUS,Decapterus russelli,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OJD,Loligo duvauceli,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQZ,Loliginidae,9,Cephalopods,75,Squid,Meat edible fraction,67
3,Marine fishes,34,Miscellaneous demersal fishes,APH,Aphanopus intermedius,7,Other marine fish,58,Scabbardfish,Flesh edible fraction,59
3,Marine fishes,37,Miscellaneous pelagic fishes,JAX,Trachurus spp,5,Small pelagics,37,"Horse mackerel, other",Flesh edible fraction,52
3,Marine fishes,37,Miscellaneous pelagic fishes,TRE,Caranx spp,7,Other marine fish,62,Other marine fish,Flesh edible fraction,56
3,Marine fishes,37,Miscellaneous pelagic fishes,AMJ,Seriola quinqueradiata,7,Other marine fish,62,Other marine fish,Flesh edible fraction,53
3,Marine fishes,35,"Herrings, sardines, anchovies",JAN,Engraulis japonicus,5,Small pelagics,34,Anchovy,Flesh edible fraction,62
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meat edible fraction,18
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQJ,Todarodes pacificus,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",HCJ,Meretrix lusoria,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,37,Miscellaneous pelagic fishes,JJM,Trachurus japonicus,5,Small pelagics,37,"Horse mackerel, other",Flesh edible fraction,52
3,Marine fishes,37,Miscellaneous pelagic fishes,RSA,Decapterus maruadsi,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
3,Marine fishes,36,"Tunas, bonitos, billfishes",NPH,Scomberomorus niphonius,5,Small pelagics,38,Mackerel,Flesh edible fraction,67
7,Miscellaneous aquatic animals,77,Miscellaneous aquatic invertebrates,JEL,Rhopilema spp,10,Bivalves and other molluscs and aquatic invertebrates,107,Jellyfish,Skinless fillet edible fraction,NA
5,Molluscs,57,"Squids, cuttlefishes, octopuses",GIS,Dosidicus gigas,9,Cephalopods,75,Squid,Meat edible fraction,67
