Food Code,Food Name,fixed_name,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,Approximated
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",DRJ,Dipturus intermedius,Flapper skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJL,Dipturus laevis,Barndoor skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFA,Dipturus lanceorostratus,Rattail skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAT,Dipturus nasutus,Rough skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAD,Dipturus nidarosiensis,Norwegian skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAO,Dipturus olseni,Spreadfin skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJO,Dipturus oxyrinchus,Longnosed skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAL,Dipturus pullopunctatus,Slime skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RFS,Dipturus springeri,Roughbelly skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RFY,Dipturus stenorhynchus,Prow-nose skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJD,Leucoraja erinacea,Little skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFG,Leucoraja garmani,Freckled skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJT,Leucoraja ocellata,Winter skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAK,Leucoraja wallacei,Yellowspotted skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJS,Malacoraja senta,Smooth skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJP,Malacoraja spinacidermis,Soft skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RNS,Neoraja stehmanni,African pygmy skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",UKM,Neoraja iberica,Iberian pygmy skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RFL,Raja straeleni,Spotted skate,7,Other marine fish,62,Other marine fish,TRUE
