ERSCode,CG_code,CG_descr,MCS_code,MCS_descr,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ScientificName,EnglishName,ProducedInScotland2021
MBI,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblychaeturichthys sciistius,NA,FALSE
MBU,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblyeleotris aurora,Pinkbar goby,FALSE
JXA,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblyeleotris diagonalis,Diagonal shrimp goby,FALSE
JXB,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblyeleotris downingi,Downing's shrimpgoby,FALSE
JXC,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblyeleotris periophthalma,Periophthalma prawn-goby,FALSE
JXD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblyeleotris triguttata,Triplespot shrimpgoby,FALSE
MBL,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblygobius albimaculatus,Butterfly goby,FALSE
IEC,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Amblygobius nocturnus,Nocturn goby,FALSE
YAS,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Amoya signatus,Tusk goby,FALSE
LHH,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Scartelaos histophorus,Walking goby,FALSE
QDD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Scartelaos tenuis,Indian O. slender mudskipper,FALSE
URY,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Parachaeturichthys polynema,Taileyed goby,FALSE
OAB,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Pomatoschistus bathi,NA,FALSE
OBD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Pomatoschistus microps,Common goby,FALSE
OBZ,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Pomatoschistus minutus,Sand goby,FALSE
QMP,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Pomatoschistus pictus,Painted goby,FALSE
QEO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Pomatoschistus norvegicus,Norway goby,FALSE
QEQ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Pomatoschistus lozanoi,Lozano's goby,FALSE
QXS,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Pomatoschistus spp,Gobies nei,FALSE
OCB,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Apocryptes bato,NA,FALSE
MVP,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Microgobius brevispinis,Balboa goby,FALSE
EVR,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Evorthodus lyricus,Lyre goby,FALSE
YTI,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Cryptocentrus albidorsus,NA,FALSE
YTF,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Cryptocentrus filifer,NA,FALSE
YRZ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Cryptocentrus cryptocentrus,Ninebar prawn-goby,FALSE
YSG,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Cryptocentrus lutheri,Luther's prawn-goby,FALSE
UMH,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Aruma histrio,Slow goby,FALSE
GCI,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gillichthys mirabilis,Longjaw mudsucker,FALSE
EDE,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Pseudaphya ferreri,Ferrer's goby,FALSE
ONB,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Odondebuenia balearica,Coralline goby,FALSE
GLG,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Lebetus guilleti,Guillet's goby,FALSE
